# Chunk-averaged data for fix avegroupC and group groupC
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
10000 1500 189.99999999999972
  195 3.89 0.0028 0.000155556
  196 3.91 0.0035 0.000194444
  197 3.93 0.0034 0.000188889
  198 3.95 0.003 0.000166667
  199 3.97 0.0037 0.000205556
  200 3.99 0.0033 0.000183333
  201 4.01 0.0034 0.000188889
  202 4.03 0.0034 0.000188889
  203 4.05 0.0033 0.000183333
  204 4.07 0.0035 0.000194444
  205 4.09 0.0034 0.000188889
  206 4.11 0.0034 0.000188889
  207 4.13 0.0035 0.000194444
  208 4.15 0.0033 0.000183333
  209 4.17 0.0035 0.000194444
  210 4.19 0.0034 0.000188889
  211 4.21 0.0037 0.000205556
  212 4.23 0.0035 0.000194444
  213 4.25 0.0034 0.000188889
  214 4.27 0.0036 0.0002
  215 4.29 0.0035 0.000194444
  216 4.31 0.0034 0.000188889
  217 4.33 0.0035 0.000194444
  218 4.35 0.0034 0.000188889
  219 4.37 0.0037 0.000205556
  220 4.39 0.0034 0.000188889
  221 4.41 0.0038 0.000211111
  222 4.43 0.0034 0.000188889
  223 4.45 0.0035 0.000194444
  224 4.47 0.0034 0.000188889
  225 4.49 0.0038 0.000211111
  226 4.51 0.0035 0.000194444
  227 4.53 0.0036 0.0002
  228 4.55 0.0036 0.0002
  229 4.57 0.0035 0.000194444
  230 4.59 0.004 0.000222222
  231 4.61 0.0034 0.000188889
  232 4.63 0.0036 0.0002
  233 4.65 0.0037 0.000205556
  234 4.67 0.0037 0.000205556
  235 4.69 0.0037 0.000205556
  236 4.71 0.0035 0.000194444
  237 4.73 0.0038 0.000211111
  238 4.75 0.0037 0.000205556
  239 4.77 0.0036 0.0002
  240 4.79 0.0037 0.000205556
  241 4.81 0.0037 0.000205556
  242 4.83 0.0038 0.000211111
  243 4.85 0.0038 0.000211111
  244 4.87 0.0036 0.0002
  245 4.89 0.0036 0.0002
  246 4.91 0.0039 0.000216667
  247 4.93 0.0039 0.000216667
  248 4.95 0.0038 0.000211111
  249 4.97 0.0037 0.000205556
  250 4.99 0.0039 0.000216667
  251 5.01 0.0036 0.0002
  252 5.03 0.0038 0.000211111
  253 5.05 0.0042 0.000233333
  254 5.07 0.0037 0.000205556
  255 5.09 0.0039 0.000216667
  256 5.11 0.0038 0.000211111
  257 5.13 0.0039 0.000216667
  258 5.15 0.0039 0.000216667
  259 5.17 0.004 0.000222222
  260 5.19 0.0041 0.000227778
  261 5.21 0.0037 0.000205556
  262 5.23 0.004 0.000222222
  263 5.25 0.0045 0.00025
  264 5.27 0.0045 0.00025
  265 5.29 0.0045 0.00025
  266 5.31 0.0049 0.000272222
  267 5.33 0.0045 0.00025
  268 5.35 0.0047 0.000261111
