# Chunk-averaged data for fix avegroupO and group groupO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
10000 1500 379.9999999999999
  176 3.51 0.0077 0.000427778
  177 3.53 0.0078 0.000433333
  178 3.55 0.0081 0.00045
  179 3.57 0.0085 0.000472222
  180 3.59 0.0082 0.000455556
  181 3.61 0.0082 0.000455556
  182 3.63 0.0081 0.00045
  183 3.65 0.0081 0.00045
  184 3.67 0.0076 0.000422222
  185 3.69 0.0074 0.000411111
  186 3.71 0.0072 0.0004
  187 3.73 0.0075 0.000416667
  188 3.75 0.0075 0.000416667
  189 3.77 0.0072 0.0004
  190 3.79 0.0073 0.000405556
  191 3.81 0.0069 0.000383333
  192 3.83 0.0077 0.000427778
  193 3.85 0.0069 0.000383333
  194 3.87 0.0073 0.000405556
  195 3.89 0.0075 0.000416667
  196 3.91 0.0077 0.000427778
  197 3.93 0.0073 0.000405556
  198 3.95 0.0071 0.000394444
  199 3.97 0.0076 0.000422222
  200 3.99 0.0073 0.000405556
  201 4.01 0.0077 0.000427778
  202 4.03 0.0077 0.000427778
  203 4.05 0.0074 0.000411111
  204 4.07 0.0075 0.000416667
  205 4.09 0.008 0.000444444
  206 4.11 0.0081 0.00045
  207 4.13 0.0086 0.000477778
  208 4.15 0.0085 0.000472222
  209 4.17 0.0088 0.000488889
  210 4.19 0.0087 0.000483333
  211 4.21 0.0094 0.000522222
  212 4.23 0.0096 0.000533333
  213 4.25 0.0185 0.00102778
  214 4.27 0.0102 0.000566667
  215 4.29 0.0097 0.000538889
  216 4.31 0.0092 0.000511111
  217 4.33 0.0126 0.0007
  218 4.35 0.0151 0.000838889
  219 4.37 0.0138 0.000766667
  220 4.39 0.0133 0.000738889
  221 4.41 0.0091 0.000505556
  222 4.43 0.0094 0.000522222
  223 4.45 0.0087 0.000483333
  224 4.47 0.0093 0.000516667
  225 4.49 0.0091 0.000505556
  226 4.51 0.009 0.0005
  227 4.53 0.0093 0.000516667
  228 4.55 0.009 0.0005
  229 4.57 0.0089 0.000494444
  230 4.59 0.0152 0.000844444
  231 4.61 0.013 0.000722222
  232 4.63 0.0121 0.000672222
  233 4.65 0.0124 0.000688889
  234 4.67 0.013 0.000722222
  235 4.69 0.0135 0.00075
  236 4.71 0.0098 0.000544444
  237 4.73 0.0095 0.000527778
  238 4.75 0.01 0.000555556
  239 4.77 0.011 0.000611111
  240 4.79 0.0136 0.000755556
  241 4.81 0.0084 0.000466667
  242 4.83 0.0086 0.000477778
  243 4.85 0.0105 0.000583333
  244 4.87 0.0098 0.000544444
  245 4.89 0.009 0.0005
  246 4.91 0.0087 0.000483333
  247 4.93 0.0086 0.000477778
  248 4.95 0.008 0.000444444
  249 4.97 0.0085 0.000472222
  250 4.99 0.008 0.000444444
  251 5.01 0.0081 0.00045
  252 5.03 0.0084 0.000466667
  253 5.05 0.0088 0.000488889
  254 5.07 0.0086 0.000477778
  255 5.09 0.009 0.0005
  256 5.11 0.0093 0.000516667
  257 5.13 0.0091 0.000505556
  258 5.15 0.0097 0.000538889
  259 5.17 0.0103 0.000572222
  260 5.19 0.0109 0.000605556
  261 5.21 0.0105 0.000583333
  262 5.23 0.01 0.000555556
  263 5.25 0.01 0.000555556
  264 5.27 0.0097 0.000538889
  265 5.29 0.0095 0.000527778
  266 5.31 0.0093 0.000516667
  267 5.33 0.0096 0.000533333
  268 5.35 0.0092 0.000511111
  269 5.37 0.0093 0.000516667
  270 5.39 0.01 0.000555556
  271 5.41 0.0099 0.00055
  272 5.43 0.0097 0.000538889
  273 5.45 0.0098 0.000544444
  274 5.47 0.0104 0.000577778
  275 5.49 0.0104 0.000577778
  276 5.51 0.0107 0.000594444
  277 5.53 0.0115 0.000638889
  278 5.55 0.0125 0.000694444
  279 5.57 0.0131 0.000727778
  280 5.59 0.012 0.000666667
  281 5.61 0.0114 0.000633333
  282 5.63 0.0112 0.000622222
  283 5.65 0.0107 0.000594444
  284 5.67 0.0111 0.000616667
  285 5.69 0.0111 0.000616667
  286 5.71 0.0116 0.000644444
  287 5.73 0.0122 0.000677778
  288 5.75 0.0123 0.000683333
  289 5.77 0.012 0.000666667
  290 5.79 0.0118 0.000655556
  291 5.81 0.0113 0.000627778
  292 5.83 0.0112 0.000622222
  293 5.85 0.0109 0.000605556
  294 5.87 0.0111 0.000616667
  295 5.89 0.0108 0.0006
  296 5.91 0.0108 0.0006
  297 5.93 0.0107 0.000594444
  298 5.95 0.0107 0.000594444
  299 5.97 0.0111 0.000616667
  300 5.99 0.0105 0.000583333
  301 6.01 0.0108 0.0006
  302 6.03 0.0115 0.000638889
  303 6.05 0.0116 0.000644444
  304 6.07 0.0124 0.000688889
  305 6.09 0.0126 0.0007
  306 6.11 0.0142 0.000788889
  307 6.13 0.0149 0.000827778
  308 6.15 0.0159 0.000883333
  309 6.17 0.0174 0.000966667
  310 6.19 0.0138 0.000766667
  311 6.21 0.0131 0.000727778
  312 6.23 0.0131 0.000727778
  313 6.25 0.0152 0.000844444
  314 6.27 0.0087 0.000483333
  315 6.29 0.0089 0.000494444
  316 6.31 0.0087 0.000483333
  317 6.33 0.0092 0.000511111
  318 6.35 0.0096 0.000533333
  319 6.37 0.0101 0.000561111
  320 6.39 0.0117 0.00065
  321 6.41 0.0123 0.000683333
  322 6.43 0.011 0.000611111
  323 6.45 0.0109 0.000605556
  324 6.47 0.0103 0.000572222
  325 6.49 0.0105 0.000583333
  326 6.51 0.0099 0.00055
  327 6.53 0.0099 0.00055
  328 6.55 0.0102 0.000566667
  329 6.57 0.0103 0.000572222
  330 6.59 0.0102 0.000566667
  331 6.61 0.0105 0.000583333
  332 6.63 0.0105 0.000583333
  333 6.65 0.0106 0.000588889
  334 6.67 0.011 0.000611111
  335 6.69 0.0113 0.000627778
  336 6.71 0.0108 0.0006
  337 6.73 0.0117 0.00065
  338 6.75 0.0125 0.000694444
  339 6.77 0.0154 0.000855556
  340 6.79 0.0224 0.00124444
  341 6.81 0.0125 0.000694444
  342 6.83 0.012 0.000666667
  343 6.85 0.0114 0.000633333
  344 6.87 0.0116 0.000644444
  345 6.89 0.0117 0.00065
  346 6.91 0.0131 0.000727778
  347 6.93 0.0128 0.000711111
  348 6.95 0.0122 0.000677778
  349 6.97 0.0125 0.000694444
  350 6.99 0.016 0.000888889
  351 7.01 0.0141 0.000783333
  352 7.03 0.021 0.00116667
  353 7.05 0.0199 0.00110556
  354 7.07 0.0183 0.00101667
  355 7.09 0.0202 0.00112222
  356 7.11 0.0151 0.000838889
  357 7.13 0.0193 0.00107222
  358 7.15 0.0187 0.00103889
  359 7.17 0.0102 0.000566667
  360 7.19 0.0111 0.000616667
  361 7.21 0.0127 0.000705556
  362 7.23 0.0155 0.000861111
  363 7.25 0.0142 0.000788889
  364 7.27 0.0124 0.000688889
  365 7.29 0.0122 0.000677778
  366 7.31 0.0123 0.000683333
  367 7.33 0.0121 0.000672222
  368 7.35 0.0125 0.000694444
  369 7.37 0.0126 0.0007
  370 7.39 0.0142 0.000788889
  371 7.41 0.013 0.000722222
  372 7.43 0.0135 0.00075
  373 7.45 0.0128 0.000711111
  374 7.47 0.0189 0.00105
  375 7.49 0.0174 0.000966667
  376 7.51 0.0184 0.00102222
  377 7.53 0.0144 0.0008
  378 7.55 0.014 0.000777778
  379 7.57 0.0131 0.000727778
  380 7.59 0.0135 0.00075
  381 7.61 0.0149 0.000827778
  382 7.63 0.0147 0.000816667
  383 7.65 0.0172 0.000955556
  384 7.67 0.0155 0.000861111
  385 7.69 0.0126 0.0007
  386 7.71 0.0125 0.000694444
  387 7.73 0.0117 0.00065
  388 7.75 0.0148 0.000822222
  389 7.77 0.0218 0.00121111
  390 7.79 0.013 0.000722222
  391 7.81 0.021 0.00116667
  392 7.83 0.0127 0.000705556
  393 7.85 0.0128 0.000711111
  394 7.87 0.0172 0.000955556
  395 7.89 0.0164 0.000911111
  396 7.91 0.0133 0.000738889
  397 7.93 0.0117 0.00065
  398 7.95 0.0119 0.000661111
  399 7.97 0.0119 0.000661111
  400 7.99 0.0125 0.000694444
  401 8.01 0.0138 0.000766667
  402 8.03 0.017 0.000944444
  403 8.05 0.02 0.00111111
  404 8.07 0.0134 0.000744444
  405 8.09 0.012 0.000666667
  406 8.11 0.0113 0.000627778
  407 8.13 0.0109 0.000605556
  408 8.15 0.0114 0.000633333
  409 8.17 0.0116 0.000644444
  410 8.19 0.0125 0.000694444
  411 8.21 0.0128 0.000711111
  412 8.23 0.0135 0.00075
  413 8.25 0.0133 0.000738889
  414 8.27 0.015 0.000833333
  415 8.29 0.0212 0.00117778
  416 8.31 0.017 0.000944444
  417 8.33 0.017 0.000944444
  418 8.35 0.0164 0.000911111
  419 8.37 0.0164 0.000911111
  420 8.39 0.0173 0.000961111
  421 8.41 0.0184 0.00102222
  422 8.43 0.0184 0.00102222
  423 8.45 0.0172 0.000955556
  424 8.47 0.0195 0.00108333
  425 8.49 0.0194 0.00107778
  426 8.51 0.0285 0.00158333
  427 8.53 0.0131 0.000727778
  428 8.55 0.0129 0.000716667
  429 8.57 0.0139 0.000772222
  430 8.59 0.0146 0.000811111
  431 8.61 0.0152 0.000844444
  432 8.63 0.018 0.001
  433 8.65 0.017 0.000944444
  434 8.67 0.0178 0.000988889
