sim	total_mean	CO2_mean	N2_mean	total_range	CO2_range	N2_range	T	mu_CO2	mu_N2	epsilon	phi_0	d	q_phi1	q_phi2	q_phi3	q_phi4	q_A1	q_A2	q_A3	q_A4
0227	416.39	347.20	69.18	10.27	26.74	21.22	320.6015	-7.7785	-6.9006	0.0000	0.0000	0.0000	19.4895	29.2352	20.0869	5.3662	693.5674	683.4844	602.5081	564.5755
0228	516.45	313.12	203.32	6.24	5.75	11.01	208.1877	-8.2222	-2.6449	0.0000	0.0000	0.0000	22.3780	29.8197	25.1232	1.9593	426.5710	99.9504	147.1989	637.3898
0229	385.62	352.04	33.58	9.07	13.89	6.26	313.4613	-7.5606	-5.1025	0.0000	0.0000	0.0000	13.9135	10.3734	13.7299	2.2553	611.8817	78.9044	153.0278	107.8986
0230	484.06	390.91	93.16	10.62	22.45	13.48	381.5275	-4.6070	-3.5914	0.0000	0.0000	0.0000	1.2563	13.4149	0.7304	14.0502	281.3750	380.2182	109.9917	578.2957
0231	493.22	372.65	120.57	12.12	32.58	24.55	311.2110	-4.0628	-2.1465	0.0000	0.0000	0.0000	25.0380	1.2929	27.0103	6.9990	289.5894	61.6573	238.0954	369.7967
0232	436.61	246.55	190.06	4.82	10.60	9.64	269.1817	-6.4913	-2.3400	0.0000	0.0000	0.0000	26.2778	15.0606	29.8555	20.4849	310.2856	442.9223	94.1051	11.8207
0233	418.87	279.76	139.12	1.86	13.27	13.81	306.1563	-5.3691	-2.8653	0.0000	0.0000	0.0000	20.7840	23.3400	16.0724	12.8577	104.5019	589.6871	102.3191	145.1273
0234	475.98	459.60	16.38	5.76	6.15	3.14	240.2567	-4.7556	-7.0129	0.0000	0.0000	0.0000	5.5632	28.8075	8.5878	5.8402	544.6541	429.8897	250.8337	10.9895
0235	430.96	421.03	9.92	9.48	9.15	1.37	261.3203	-5.7459	-6.0730	0.0000	0.0000	0.0000	13.0889	13.3097	17.1956	7.8514	591.1276	179.5337	105.4737	46.6456
0236	420.58	348.10	72.47	20.39	23.69	14.96	237.9663	-9.7175	-8.4526	0.0000	0.0000	0.0000	12.1348	21.3777	27.1902	17.3244	74.7544	265.3972	682.0810	696.1492
0237	303.15	284.15	19.00	16.72	21.24	14.06	214.9244	-11.0796	-10.0378	0.0000	0.0000	0.0000	3.4429	25.6348	19.6483	5.2161	119.4316	439.9781	545.6903	43.2267
0238	376.35	327.84	48.51	3.35	16.77	15.85	236.7461	-10.2675	-7.7810	0.0000	0.0000	0.0000	8.1952	19.2304	24.3319	1.3137	367.2851	59.8738	568.5980	282.9928
0239	472.78	371.20	101.58	11.78	17.84	9.59	203.2883	-7.1671	-4.1927	0.0000	0.0000	0.0000	22.9924	16.5781	10.1698	2.3649	558.4829	185.5248	481.1072	19.4131
0240	529.77	392.34	137.43	6.06	29.08	30.78	309.1135	-3.9358	-1.7243	0.0000	0.0000	0.0000	27.7391	20.9540	19.3068	4.3317	266.8179	388.2394	423.2690	640.1992
0241	467.33	316.15	151.18	7.74	19.09	25.52	250.2844	-8.7070	-3.7793	0.0000	0.0000	0.0000	21.5798	0.6172	13.5304	23.8168	443.3796	605.4738	433.3420	631.9993
0242	387.97	299.34	88.63	7.95	20.33	13.99	341.2912	-5.5423	-4.1756	0.0000	0.0000	0.0000	5.2513	9.3051	7.5097	14.8323	339.7279	148.8987	208.6650	158.0061
0243	493.18	263.66	229.52	6.73	17.08	15.46	219.3248	-9.1875	-2.4705	0.0000	0.0000	0.0000	2.6703	19.3263	23.9564	12.2824	440.2262	404.0558	429.0927	543.2395
0244	431.50	379.54	51.96	10.42	21.95	19.66	300.0305	-6.6670	-7.1500	0.0000	0.0000	0.0000	0.0510	28.7230	7.2192	5.6736	469.5641	166.3852	470.2617	425.8010
0245	497.75	405.42	92.33	7.08	13.80	15.14	251.8830	-3.7664	-2.9274	0.0000	0.0000	0.0000	19.9382	23.0776	23.3310	26.9446	111.5871	118.3487	501.5101	396.7091
0246	458.73	383.15	75.57	9.36	33.12	25.44	370.1791	-4.5830	-3.7555	0.0000	0.0000	0.0000	3.0512	3.1647	6.9654	7.7783	270.4952	391.2365	377.2253	368.1936
0247	527.47	457.81	69.66	10.79	9.99	11.05	371.5633	-2.1402	-5.8930	0.0000	0.0000	0.0000	10.1748	0.3050	26.0190	14.1507	415.5239	336.3324	648.0849	668.4162
0248	412.97	329.25	83.72	13.82	24.08	17.42	288.9049	-8.3375	-5.9855	0.0000	0.0000	0.0000	28.9983	8.9492	21.1782	12.3545	451.3760	6.9322	272.4195	587.7495
0249	494.26	407.43	86.83	11.57	26.55	18.55	361.0411	-4.1364	-3.9082	0.0000	0.0000	0.0000	17.4471	8.1169	20.5776	2.8175	593.7082	502.5537	670.8871	691.3953
0250	493.88	414.47	79.41	9.79	25.11	15.61	246.8493	-5.8634	-5.6624	0.0000	0.0000	0.0000	15.1249	13.7046	17.6904	19.4732	91.4141	305.0260	510.5297	575.2420
0251	479.72	357.81	121.91	9.25	20.63	13.97	344.2916	-3.4715	-1.6750	0.0000	0.0000	0.0000	11.6795	18.3932	27.5038	22.2098	391.8503	402.7961	136.6290	246.3653
0252	454.70	441.51	13.20	11.37	11.21	7.62	228.0544	-6.4374	-8.8895	0.0000	0.0000	0.0000	25.0740	27.6844	3.9428	18.7283	356.4934	699.5225	40.3521	158.7718
0253	528.16	453.34	74.82	4.97	11.30	10.02	380.3081	-2.8248	-5.1366	0.0000	0.0000	0.0000	12.0733	23.7458	7.4445	2.0603	458.7303	278.4275	16.5501	646.8749
0254	412.95	303.32	109.63	4.73	19.55	15.90	263.9195	-9.1486	-4.5273	0.0000	0.0000	0.0000	1.1151	3.3379	6.2966	18.1911	140.9583	129.3992	448.0165	318.8737
0255	494.01	437.22	56.80	5.79	21.98	19.11	205.6551	-4.5451	-5.6672	0.0000	0.0000	0.0000	8.7288	16.1865	17.1178	21.2366	468.8082	388.2190	506.2677	167.3138
0256	430.16	370.11	60.05	10.17	35.78	30.44	337.4706	-6.1442	-6.6112	0.0000	0.0000	0.0000	6.3294	26.7413	23.1922	9.0529	277.8727	187.9726	324.6305	434.2379
0257	495.75	432.46	63.29	4.86	14.81	13.34	319.6468	-2.7438	-4.7339	0.0000	0.0000	0.0000	20.8485	7.0958	16.2940	21.4183	263.4594	520.5991	453.1751	346.7372
0258	340.99	299.06	41.92	5.16	11.76	7.13	276.9690	-7.2367	-5.9790	0.0000	0.0000	0.0000	16.6399	26.6923	10.0564	23.1049	220.2566	93.4463	257.9942	120.4106
0259	402.26	369.91	32.35	6.55	22.57	16.02	237.4980	-8.6069	-9.0325	0.0000	0.0000	0.0000	22.1628	14.9797	23.0244	18.4811	530.6140	539.5207	133.7237	297.8825
0260	455.77	391.00	64.78	11.85	24.69	12.84	225.6821	-7.9772	-7.0599	0.0000	0.0000	0.0000	29.1630	28.1827	11.1727	5.1223	638.4672	651.6374	461.2289	380.7789
0261	464.66	389.11	75.55	8.78	9.79	12.55	251.6930	-7.0911	-6.3105	0.0000	0.0000	0.0000	26.3687	16.0317	19.8071	4.8387	524.8975	465.4837	514.8757	557.4807
0262	462.95	346.20	116.74	12.11	13.08	8.45	323.8827	-3.1357	-1.9272	0.0000	0.0000	0.0000	6.0564	24.9748	25.6025	0.1384	16.6896	402.7607	403.1337	150.7911
0263	470.59	399.74	70.84	11.65	20.68	13.44	354.5556	-5.1696	-6.0535	0.0000	0.0000	0.0000	14.1418	13.0821	27.5450	14.7566	678.3698	311.0025	148.3161	629.2014
0264	417.41	346.09	71.32	11.47	18.27	12.38	341.5766	-6.1550	-3.7874	0.0000	0.0000	0.0000	9.3346	11.1330	12.9457	13.6975	642.9871	637.1224	317.3823	133.6054
0265	484.03	368.60	115.44	7.87	22.61	14.74	233.1398	-7.8334	-4.7112	0.0000	0.0000	0.0000	27.2401	24.0607	3.9471	7.1314	49.5551	493.1005	220.7027	640.2378
0266	507.89	344.83	163.06	5.16	26.91	23.15	377.9324	-4.9879	-1.8131	0.0000	0.0000	0.0000	1.4198	11.0272	26.5317	29.0055	351.3256	287.0306	223.7834	657.2096
0267	445.79	339.93	105.86	12.20	15.28	8.05	254.9695	-6.1847	-4.1746	0.0000	0.0000	0.0000	9.3762	21.6073	29.3985	25.1637	0.4134	603.5808	597.9948	274.2188
0268	529.54	444.87	84.68	9.90	22.90	20.66	384.2532	-2.1054	-2.9364	0.0000	0.0000	0.0000	23.9062	0.6727	21.2828	2.4846	118.7409	112.4787	555.1123	641.5267
0269	424.20	253.16	171.04	8.96	26.99	21.69	279.1120	-8.8495	-3.3456	0.0000	0.0000	0.0000	28.5480	4.6847	26.4093	15.7306	95.3561	72.1597	657.3408	150.2405
0270	461.19	418.72	42.47	6.85	15.22	8.37	386.7704	-2.9279	-4.6186	0.0000	0.0000	0.0000	7.8505	10.0564	29.6805	2.1487	681.8263	291.8158	322.1742	196.2545
0271	529.74	450.55	79.20	8.45	21.55	17.83	216.5844	-3.9469	-5.5913	0.0000	0.0000	0.0000	8.6278	22.1657	5.2834	5.9854	421.3260	136.5004	317.0737	609.6896
0272	515.66	436.40	79.26	10.23	13.39	8.34	216.0224	-4.8862	-5.5724	0.0000	0.0000	0.0000	27.5969	13.2175	9.9430	26.2791	362.7024	420.9151	318.7366	511.7546
0273	468.21	362.53	105.68	8.06	21.67	13.84	215.8106	-9.0972	-5.4125	0.0000	0.0000	0.0000	20.3457	25.3383	21.3397	24.5970	94.6074	544.2603	297.9708	613.4209
0274	420.87	253.75	167.12	5.88	13.32	12.33	221.2858	-10.0855	-4.2513	0.0000	0.0000	0.0000	10.5580	16.2750	13.3727	12.8016	590.0045	129.1716	448.5735	298.6903
0275	444.84	303.18	141.66	12.34	24.65	12.31	302.3644	-8.0963	-3.4233	0.0000	0.0000	0.0000	28.6330	0.7254	21.1260	14.0017	195.3114	67.9012	637.7177	350.4962
0276	476.83	464.64	12.18	7.37	16.18	8.81	266.2667	-3.6569	-7.6592	0.0000	0.0000	0.0000	9.5977	5.3008	19.2267	10.6951	684.7849	649.0155	14.0532	128.7134
0277	453.58	399.41	54.18	6.86	23.95	17.26	314.0822	-5.3215	-5.0015	0.0000	0.0000	0.0000	29.5927	28.5025	22.7445	3.1607	104.6564	502.3867	542.7615	327.7128
0278	422.62	358.22	64.40	7.77	18.03	12.70	278.5164	-7.7837	-6.6445	0.0000	0.0000	0.0000	18.3601	2.0332	29.6839	6.4622	399.9846	525.6053	299.2047	502.9100
0279	444.18	350.83	93.35	7.95	14.95	15.78	354.2798	-6.1704	-3.9521	0.0000	0.0000	0.0000	17.9302	27.8492	27.9341	17.1148	434.5261	452.0280	325.2719	524.6720
0280	496.58	406.29	90.29	4.49	12.10	14.79	377.9660	-3.4111	-3.1274	0.0000	0.0000	0.0000	14.0971	23.9824	10.4589	3.5754	661.9093	676.5200	331.7436	506.9105
0281	470.12	431.03	39.09	5.63	15.89	16.74	251.7332	-4.8672	-5.7352	0.0000	0.0000	0.0000	28.4237	20.1786	2.1215	2.1481	257.3665	446.0145	380.5077	181.5389
0282	444.01	368.56	75.45	8.66	25.80	20.23	343.9280	-4.0844	-3.3811	0.0000	0.0000	0.0000	0.5692	25.7037	21.5360	7.9270	559.8956	377.5951	476.8213	28.9992
0283	339.00	330.76	8.24	8.03	8.43	2.81	284.1449	-7.3681	-7.8593	0.0000	0.0000	0.0000	23.2430	11.1571	21.6700	2.2141	646.7257	492.4470	261.3018	61.7684
0284	537.53	431.01	106.52	1.95	26.47	26.46	329.6592	-2.7692	-1.8835	0.0000	0.0000	0.0000	21.3291	4.6212	13.5247	7.9436	68.0096	587.9482	136.9051	615.4921
0285	504.89	444.61	60.28	11.78	29.44	19.44	341.0882	-2.6405	-6.0672	0.0000	0.0000	0.0000	7.9811	0.5411	6.2006	10.6409	403.6666	261.6554	678.6707	492.5446
0286	476.10	403.56	72.54	10.37	23.84	17.91	391.2437	-3.9235	-4.4011	0.0000	0.0000	0.0000	27.5643	9.6263	4.5312	18.8955	117.4443	530.8643	445.4994	490.4435
0287	449.49	375.69	73.80	10.85	17.90	21.60	380.2315	-6.0275	-5.3619	0.0000	0.0000	0.0000	7.4607	17.1683	28.5762	15.1926	101.1246	131.2438	619.7022	658.0062
0288	514.56	416.23	98.33	11.16	18.99	18.58	212.0889	-5.9461	-4.0304	0.0000	0.0000	0.0000	25.8334	17.7407	28.9893	5.1337	634.0694	132.5845	317.9162	549.6836
0289	464.61	321.10	143.51	11.86	12.65	7.84	256.7852	-7.0085	-3.4311	0.0000	0.0000	0.0000	21.6866	25.0375	21.7555	14.8118	323.2006	328.0509	66.4936	357.6949
0290	463.14	404.34	58.80	5.17	22.20	17.34	367.9753	-3.7090	-3.9950	0.0000	0.0000	0.0000	4.4140	17.9391	21.6824	16.6706	662.1067	591.8142	504.9365	165.6768
0291	518.43	395.23	123.21	4.66	25.91	21.55	291.6075	-3.4510	-2.0009	0.0000	0.0000	0.0000	23.5036	8.6277	6.9640	3.4623	527.2756	162.3203	223.8428	469.0405
0292	481.01	244.72	236.29	7.35	19.58	19.36	216.2563	-9.4247	-2.3508	0.0000	0.0000	0.0000	21.9589	10.4234	20.6620	9.6551	689.2777	248.8273	218.8789	321.8618
0293	480.06	414.77	65.29	8.85	33.06	25.14	299.2170	-5.5149	-6.4813	0.0000	0.0000	0.0000	15.9844	0.3379	11.4519	29.2355	47.5861	254.5920	307.4497	580.1891
0294	316.35	267.04	49.31	9.02	7.98	6.78	223.7351	-10.9070	-6.6931	0.0000	0.0000	0.0000	21.1236	4.7008	28.1036	3.8660	5.7207	66.5322	392.4233	22.6483
0295	478.71	401.58	77.13	6.82	9.89	10.48	351.8282	-4.4272	-4.4780	0.0000	0.0000	0.0000	2.7508	24.4225	4.9643	0.6872	160.2432	627.7015	215.9329	468.4616
0296	482.48	435.84	46.64	1.76	7.99	9.25	225.4131	-3.5779	-5.0208	0.0000	0.0000	0.0000	8.0148	27.4747	10.9282	26.3107	531.8571	128.3878	342.5588	183.5879
0297	408.25	341.71	66.54	22.63	31.43	12.44	249.6088	-9.3971	-7.6071	0.0000	0.0000	0.0000	21.0709	7.4655	19.8684	12.7355	51.3106	476.7360	656.2583	576.4533
0298	513.13	407.40	105.73	6.30	25.72	25.83	328.2666	-3.7710	-2.6850	0.0000	0.0000	0.0000	23.1417	29.4873	18.9942	18.1593	242.4850	636.8929	167.2924	516.8192
0299	386.60	350.61	35.99	11.21	25.38	14.17	245.6620	-8.7916	-8.3231	0.0000	0.0000	0.0000	1.1772	4.2013	5.7939	15.9953	102.5105	649.8530	578.7661	214.4892
0300	331.83	275.02	56.81	10.70	12.50	10.25	290.6701	-8.0406	-5.9372	0.0000	0.0000	0.0000	9.5625	22.4381	8.4141	17.1137	393.4690	604.5641	266.0489	189.0741
0301	434.10	323.50	110.60	11.78	22.40	16.12	315.9824	-6.1811	-3.2268	0.0000	0.0000	0.0000	17.6684	21.6656	8.9667	9.0970	598.8652	259.3644	246.1576	257.4485
0302	470.33	415.70	54.63	8.66	22.04	14.61	385.3488	-3.7651	-4.6373	0.0000	0.0000	0.0000	15.5840	13.2119	26.1837	17.4030	452.9889	556.3969	74.5174	336.9663
0303	460.78	344.64	116.14	6.85	40.22	37.54	367.0946	-6.5198	-3.5064	0.0000	0.0000	0.0000	3.2775	10.4749	22.9737	2.8862	251.7590	325.4691	17.0533	616.0118
0304	508.80	409.56	99.24	6.24	15.45	20.93	216.6363	-6.3005	-3.8881	0.0000	0.0000	0.0000	14.7507	29.8699	18.8286	2.0138	618.2715	570.5967	430.7394	523.6353
0305	484.06	414.26	69.80	7.47	11.07	12.09	319.8443	-2.5442	-2.6521	0.0000	0.0000	0.0000	11.6215	24.1955	11.3451	16.9772	423.1538	508.8013	551.9643	97.4866
0306	489.23	426.26	62.96	8.09	16.53	16.43	295.2089	-2.6869	-3.6501	0.0000	0.0000	0.0000	16.9883	23.3634	7.5576	7.0025	230.3133	560.2073	402.2737	162.0415
0307	420.52	366.35	54.17	6.31	21.77	15.46	390.2730	-3.9077	-3.6573	0.0000	0.0000	0.0000	15.6950	9.4763	8.9230	4.3972	229.9646	64.4518	343.3576	68.7926
0308	428.52	362.71	65.81	8.82	13.78	12.68	346.8709	-5.2078	-4.9716	0.0000	0.0000	0.0000	17.5668	2.4323	22.6907	20.7024	516.8344	94.5140	647.4944	391.5870
0309	436.75	358.84	77.91	5.53	22.65	20.38	360.1723	-4.1887	-3.6309	0.0000	0.0000	0.0000	1.3453	9.0716	20.5046	23.5791	28.3621	204.7343	680.6258	24.9858
0310	531.80	431.26	100.54	9.19	29.72	25.95	381.1072	-2.7655	-2.5968	0.0000	0.0000	0.0000	13.4602	28.5705	7.9820	29.8766	205.9093	314.3599	113.3597	651.6408
0311	444.47	334.41	110.05	7.51	16.48	17.43	260.8310	-8.1317	-4.8427	0.0000	0.0000	0.0000	12.0197	14.8860	12.2343	14.9867	10.7476	582.9992	398.2738	584.2598
0312	519.61	437.67	81.94	11.83	26.55	25.37	221.5024	-4.3437	-4.8000	0.0000	0.0000	0.0000	23.2708	20.3498	21.1609	6.3503	57.3495	384.3618	344.7280	552.4252
0313	488.94	306.67	182.27	8.61	12.29	16.39	367.5433	-6.1753	-1.7813	0.0000	0.0000	0.0000	0.7740	22.3172	12.5534	24.5552	171.0144	363.4483	144.7838	492.6676
0314	501.44	427.14	74.29	9.70	30.89	23.25	389.1047	-2.2960	-2.7949	0.0000	0.0000	0.0000	17.2547	21.2809	9.2787	13.0461	352.1257	339.3783	521.6588	438.0231
0315	467.84	399.00	68.84	7.30	27.45	21.55	367.7062	-4.9078	-5.1632	0.0000	0.0000	0.0000	21.8581	23.8721	15.3535	22.4509	1.2174	555.0466	642.6930	366.1192
0316	436.99	357.29	79.70	7.88	8.44	5.47	331.5086	-4.8862	-4.5240	0.0000	0.0000	0.0000	29.4514	28.6863	5.2093	22.7124	532.4546	664.9958	665.8528	366.1195
0317	439.48	409.15	30.34	9.87	13.05	8.07	360.9919	-4.0319	-5.8495	0.0000	0.0000	0.0000	25.1566	6.5338	26.0321	22.8882	220.2544	607.5058	560.3781	21.7575
0318	479.91	395.45	84.46	9.27	26.37	27.64	359.6496	-4.7384	-4.3904	0.0000	0.0000	0.0000	6.8689	20.7786	26.3037	22.5005	114.1499	155.1684	648.7307	573.6927
0319	406.56	243.82	162.73	10.80	25.76	17.13	256.8630	-8.9193	-3.8866	0.0000	0.0000	0.0000	8.9604	3.7323	12.2325	17.0095	192.0927	227.0008	650.5356	68.4745
0320	501.96	444.07	57.89	10.86	25.29	19.06	227.7330	-4.4350	-7.6225	0.0000	0.0000	0.0000	17.9078	13.6947	7.6002	15.2089	384.8819	536.1969	615.6805	428.4938
0321	380.11	355.45	24.66	15.09	17.23	6.47	334.3558	-5.7633	-6.4951	0.0000	0.0000	0.0000	21.8339	6.3884	6.7528	25.6112	657.7110	590.8563	454.4872	16.9799
0322	458.11	273.44	184.67	6.40	17.35	18.78	232.9606	-10.2428	-3.5623	0.0000	0.0000	0.0000	23.7558	21.7661	25.5745	13.5846	679.4984	252.4700	134.3968	415.7096
0323	440.01	333.19	106.83	11.82	23.64	15.01	206.0105	-10.0221	-6.0303	0.0000	0.0000	0.0000	24.3764	2.5026	23.8992	15.6615	355.0717	324.7728	20.4079	478.5206
0324	465.08	263.95	201.13	5.10	14.34	11.27	318.0967	-7.6812	-1.9697	0.0000	0.0000	0.0000	26.8829	0.4966	25.3715	22.6167	614.0342	632.6069	330.5261	394.3768
0325	457.62	390.10	67.52	11.82	18.96	7.45	397.6750	-4.7344	-5.0414	0.0000	0.0000	0.0000	12.4698	18.6512	1.1024	12.1101	394.0532	626.5631	387.2256	394.1249
0326	319.40	298.90	20.50	5.09	6.04	0.94	338.7624	-6.7760	-6.0320	0.0000	0.0000	0.0000	12.4497	1.9439	19.6673	14.8161	318.3590	229.2112	134.1452	56.8739
0327	425.11	296.65	128.46	4.86	33.26	28.41	303.2716	-8.0979	-3.8362	0.0000	0.0000	0.0000	9.2133	14.8368	20.3239	1.8161	486.5544	118.1398	158.2230	355.7868
0328	454.70	393.31	61.39	11.86	20.94	18.30	367.9111	-5.1044	-5.1386	0.0000	0.0000	0.0000	8.6396	3.7342	13.2810	19.6412	89.7858	510.3516	507.1354	326.9801
0329	455.31	402.86	52.45	5.16	23.58	19.03	343.9487	-3.4914	-4.1979	0.0000	0.0000	0.0000	15.9861	15.1482	11.3824	21.5947	459.5498	538.0800	238.5398	223.5925
0330	434.36	362.85	71.52	16.97	30.72	16.57	346.6316	-6.6906	-6.2276	0.0000	0.0000	0.0000	6.4011	25.6996	21.8658	15.6626	669.1200	657.5967	240.7622	633.8368
0331	445.00	313.23	131.76	4.65	16.91	13.97	274.3135	-7.2039	-3.2437	0.0000	0.0000	0.0000	21.2276	20.7733	3.3580	18.7027	217.7770	185.8531	352.8445	185.7678
0332	516.86	441.43	75.44	7.83	37.86	33.41	278.5556	-4.4450	-5.8789	0.0000	0.0000	0.0000	15.5352	23.6032	7.0135	5.4301	65.4792	555.0254	120.7059	587.4861
0333	539.10	455.17	83.93	10.96	29.08	26.69	332.1234	-2.5508	-3.6034	0.0000	0.0000	0.0000	0.8219	15.8731	16.5538	18.6170	589.2247	617.1383	91.1462	665.5855
0334	486.77	416.06	70.70	9.89	10.42	19.06	225.5126	-5.7123	-4.4530	0.0000	0.0000	0.0000	24.9762	1.3363	2.6652	8.7920	650.6280	488.4504	663.2079	116.3274
0335	473.59	400.48	73.11	8.13	15.28	12.84	277.4181	-3.6965	-2.6713	0.0000	0.0000	0.0000	13.4170	29.8137	6.8923	18.1392	605.2585	20.6259	151.4315	174.4711
0336	394.01	319.33	74.67	10.95	18.41	13.55	266.4506	-9.1197	-6.0812	0.0000	0.0000	0.0000	10.4463	23.0737	29.1763	22.6820	188.9504	470.8055	485.1388	413.8070
0337	446.81	404.28	42.53	11.00	26.92	15.92	299.3612	-5.0698	-5.4452	0.0000	0.0000	0.0000	10.4810	0.3981	10.1647	27.1066	311.8092	136.3795	272.3155	240.7522
0338	406.76	326.93	79.83	10.77	25.05	14.76	270.9923	-9.0461	-5.6804	0.0000	0.0000	0.0000	8.3579	26.4641	23.8291	3.3104	478.1589	130.1959	75.3688	474.1959
0339	477.91	435.75	42.16	8.95	17.91	15.33	279.4180	-3.9412	-4.6070	0.0000	0.0000	0.0000	12.0301	5.3995	6.8393	6.1618	255.9629	390.4794	18.7959	196.4601
0340	504.63	410.78	93.85	10.48	16.53	12.59	358.6551	-2.3951	-2.1246	0.0000	0.0000	0.0000	5.8640	10.8253	0.2839	23.3693	336.8300	543.4860	682.0440	272.5145
0341	448.67	295.94	152.74	4.50	24.92	22.62	336.3724	-6.7234	-1.8229	0.0000	0.0000	0.0000	12.5647	21.3866	1.8805	17.2219	319.5663	438.6876	134.2740	148.3461
0342	451.86	367.30	84.56	4.25	4.03	5.67	360.3445	-3.3615	-3.0248	0.0000	0.0000	0.0000	14.1171	25.8858	27.9651	15.8677	429.6230	664.2330	338.3717	183.9807
0343	491.42	438.34	53.07	5.20	9.91	7.61	254.4474	-4.2999	-7.4502	0.0000	0.0000	0.0000	12.3880	3.6945	9.4205	4.9788	88.9812	528.9683	584.6330	251.1265
0344	503.81	413.48	90.33	8.60	32.66	24.87	352.4374	-2.9015	-2.8401	0.0000	0.0000	0.0000	14.6235	11.4567	14.6256	22.3597	624.9394	409.8862	113.6187	380.7032
0345	487.41	441.10	46.31	3.92	11.95	11.67	252.8529	-3.4344	-7.5566	0.0000	0.0000	0.0000	11.0639	7.8439	12.0090	21.7459	108.2972	239.1594	442.3271	278.3079
0346	472.51	398.34	74.17	5.82	21.10	15.56	283.7177	-6.2451	-5.4304	0.0000	0.0000	0.0000	5.9919	27.1697	24.7507	24.6308	464.0866	424.7131	522.6193	500.5438
0347	486.32	427.08	59.24	7.40	8.69	7.73	221.3861	-3.8722	-3.5411	0.0000	0.0000	0.0000	4.8027	21.9257	3.9239	28.1502	107.1260	653.7239	205.7324	136.5201
0348	445.74	436.82	8.92	9.32	9.13	2.06	350.5060	-3.0743	-5.7043	0.0000	0.0000	0.0000	25.0116	1.8022	27.5487	8.2606	61.8409	467.8228	221.9341	2.4492
0349	513.59	434.04	79.55	7.59	29.31	23.24	319.4914	-4.1468	-4.8212	0.0000	0.0000	0.0000	20.0131	5.4899	17.6236	0.2605	8.5714	657.7508	109.9888	623.4188
0350	468.03	418.53	49.50	14.80	29.31	15.85	319.8934	-4.4082	-5.1908	0.0000	0.0000	0.0000	17.3898	24.2003	29.8844	3.2481	109.6094	633.9830	492.3414	319.8119
0351	471.75	426.04	45.71	5.25	16.75	15.73	209.1009	-6.9259	-7.3756	0.0000	0.0000	0.0000	14.2952	7.9579	1.4252	21.0947	337.3908	515.8498	586.0362	214.8447
0352	493.18	314.60	178.58	10.57	23.81	13.44	296.7294	-6.8466	-2.4486	0.0000	0.0000	0.0000	7.6987	12.3898	13.3243	19.9265	357.4571	108.7166	531.2777	678.4613
0353	390.14	377.43	12.71	5.59	8.43	4.09	336.4985	-5.2406	-6.6184	0.0000	0.0000	0.0000	6.4365	16.4141	23.1942	10.5828	427.4706	470.2091	192.4180	120.4047
0354	464.84	420.59	44.24	5.97	29.58	26.85	253.9973	-5.2014	-5.3920	0.0000	0.0000	0.0000	27.0592	18.6403	18.5778	6.6404	594.2563	74.4751	489.2149	53.1932
0355	434.64	386.05	48.59	11.38	24.74	15.56	284.7493	-7.0244	-7.8498	0.0000	0.0000	0.0000	7.5833	22.7105	25.0667	9.4140	379.9388	668.2658	413.6726	445.4998
0356	477.51	444.23	33.28	5.26	3.33	7.05	253.9669	-4.4742	-8.3111	0.0000	0.0000	0.0000	26.0778	5.0398	20.9976	21.2050	475.4092	327.0030	277.2014	209.9779
0357	430.93	353.25	77.69	16.00	33.61	17.70	248.7099	-8.5054	-6.7037	0.0000	0.0000	0.0000	12.4717	21.8981	12.5109	29.1712	608.4640	539.4178	59.6341	510.6596
0358	476.20	382.15	94.05	5.49	27.41	23.77	331.2326	-3.0433	-1.9745	0.0000	0.0000	0.0000	19.9362	11.7657	28.0861	26.4823	273.9551	533.8691	424.7274	244.6853
0359	461.25	362.22	99.03	5.61	24.97	21.03	275.1379	-6.0771	-4.0481	0.0000	0.0000	0.0000	19.4608	4.7843	13.0107	21.0411	399.6048	122.6762	405.1048	392.5180
0360	479.13	315.92	163.21	9.59	19.11	14.73	376.3404	-5.8764	-1.8811	0.0000	0.0000	0.0000	28.2926	9.7795	3.3687	18.6888	288.2938	413.3516	343.0557	409.5124
0361	453.60	382.31	71.29	2.70	12.63	13.53	316.8731	-5.9485	-5.7292	0.0000	0.0000	0.0000	7.2331	4.2406	17.6888	8.9932	77.9056	53.8396	109.1248	491.1927
0362	411.49	183.76	227.73	2.08	9.44	9.47	224.1506	-8.9750	-3.3575	0.0000	0.0000	0.0000	28.0376	24.5339	18.4775	6.1297	434.0326	503.1073	303.6834	2.2870
0363	457.12	259.67	197.45	7.04	6.61	7.22	214.6179	-9.9582	-3.5564	0.0000	0.0000	0.0000	20.5246	3.0527	3.7559	26.1921	83.6640	56.7054	641.7242	265.9001
0364	469.33	397.65	71.67	16.38	34.27	24.10	212.9338	-8.0663	-6.4979	0.0000	0.0000	0.0000	15.0770	1.6923	29.4412	2.5792	559.2544	673.5875	679.1021	546.6252
0365	459.54	378.09	81.44	7.80	18.50	13.64	379.2329	-4.4969	-3.7661	0.0000	0.0000	0.0000	17.1216	4.2479	2.5717	26.4226	633.1043	22.4755	371.4871	364.0378
0366	481.41	455.30	26.11	7.34	12.67	9.63	314.3494	-2.7922	-5.9322	0.0000	0.0000	0.0000	15.9770	26.2199	19.8898	26.2088	416.7367	222.3564	123.4459	211.8105
